fulwgt,education_num,sex,capital_gain,capital_loss,target,education_numCat,hour_per_weekCat,Occupa_cat,ageCat,Marital Status_cat,Race_cat,WorfClass_cat,native_country_cat
56920,9,1,0,0,0,1,3,0,1,1,1,3,1
163127,11,0,0,0,0,1,0,0,0,1,1,1,1
34310,10,1,0,0,0,1,0,0,0,0,1,1,1
81973,10,1,0,0,1,1,1,0,1,1,0,1,1
66614,9,1,0,0,0,1,1,0,2,1,1,3,1
232782,10,0,0,0,0,1,1,0,0,0,1,1,1
316868,10,1,0,0,0,1,0,0,0,0,1,1,0
196584,11,0,0,1564,1,1,1,1,1,0,1,1,1
105376,10,1,0,0,0,1,1,0,2,0,1,1,1
185814,9,0,0,0,0,1,0,0,1,0,0,1,1
175374,10,1,0,0,0,1,0,0,0,1,1,1,1
108293,9,0,0,0,0,1,0,0,1,0,1,1,1
181232,7,1,0,2179,0,1,1,0,2,1,1,1,1
186009,10,0,0,0,0,1,1,0,1,0,1,2,0
198183,9,0,0,0,0,1,1,0,1,0,1,1,1
163003,13,0,0,0,0,2,1,1,1,0,0,1,0
296158,9,1,0,0,0,1,0,0,0,0,1,1,1
187715,9,1,0,0,0,1,3,0,1,1,1,1,1
214542,13,1,0,0,0,2,1,0,0,0,1,1,1
494223,10,1,0,1816,0,1,0,0,2,0,0,3,1
191535,9,1,0,0,0,1,3,0,0,0,1,1,1
228456,13,1,0,0,0,2,3,0,1,0,0,1,1
252752,9,0,0,0,0,1,1,0,0,0,1,1,1
78374,14,0,0,0,0,2,1,1,1,0,0,3,1
88419,9,0,0,0,0,1,1,1,0,0,0,1,0
201080,14,1,0,0,1,2,1,0,1,1,1,3,1
207157,10,0,0,0,0,1,1,0,1,0,1,1,0
235485,12,1,0,0,0,2,3,1,1,0,1,2,1
102628,14,1,0,0,0,2,1,0,1,0,1,2,1
25828,7,1,0,0,0,1,0,0,0,0,1,1,1
54826,11,0,0,0,0,1,0,1,2,0,1,2,1
124953,9,1,0,1980,0,1,1,0,0,0,1,1,1
175325,9,1,0,0,0,1,1,0,0,1,1,2,1
96062,10,1,0,1977,1,1,1,0,1,1,1,1,1
428030,13,1,0,0,0,2,3,0,0,0,1,1,1
149624,13,1,0,0,1,2,1,1,0,1,1,2,1
253814,9,0,0,0,0,1,0,0,0,1,1,1,1
312956,9,1,0,0,0,1,1,0,0,0,0,1,1
483777,9,1,0,0,0,1,1,0,1,0,0,1,1
183930,9,1,0,0,0,1,0,0,0,0,1,1,1
37274,13,1,0,0,0,2,2,1,1,1,1,1,1
181344,10,1,0,0,1,1,1,1,1,1,0,2,1
114580,10,0,0,0,0,1,1,0,1,0,1,1,1
633742,10,1,0,0,0,1,3,0,0,0,0,1,1
286370,4,1,0,0,1,0,1,0,1,1,1,1,0
29054,10,1,0,0,1,1,3,0,1,1,1,2,1
304030,9,1,0,0,0,1,1,0,1,1,0,1,1
143129,13,0,0,0,0,2,1,1,1,0,1,3,1
99928,14,0,0,0,0,2,3,1,1,1,1,1,1
109567,16,1,0,0,1,2,0,1,2,1,1,2,1
155222,10,0,0,0,0,1,0,0,1,0,0,1,1
159567,10,1,0,0,0,1,1,0,0,1,1,1,1
523910,13,1,0,0,0,2,1,0,1,1,0,2,1
120939,10,1,0,0,0,1,3,0,1,1,1,1,1
130760,13,1,0,0,0,2,0,0,1,1,1,2,1
197387,3,1,0,0,0,0,1,0,0,1,1,1,0
99374,10,1,0,0,0,1,1,0,1,0,1,1,1
56795,14,0,14084,0,1,2,3,1,1,0,1,2,1
138992,14,1,7298,0,1,2,1,1,1,1,1,1,1
32921,9,1,0,0,0,1,1,0,0,0,1,3,1
397317,14,0,0,1876,0,2,1,1,0,0,1,1,1
259323,13,1,0,0,1,2,3,1,1,1,1,1,1
254817,10,0,0,1340,0,1,1,1,1,0,1,2,1
48211,9,0,0,0,0,1,0,0,1,0,1,2,1
140164,7,0,0,0,0,1,1,0,0,0,1,1,1
128757,13,1,7298,0,1,2,1,0,1,1,0,1,1
36270,9,1,0,0,0,1,3,0,1,0,1,1,1
210563,9,0,15024,0,1,1,0,0,2,1,1,3,1
65368,7,0,0,0,0,1,0,0,0,0,1,1,1
160943,9,1,0,0,0,1,1,0,1,1,0,2,1
208358,9,1,0,0,1,1,1,0,1,1,1,1,1
153790,10,0,0,0,0,1,1,0,1,0,0,1,1
85815,9,1,0,0,0,1,1,0,2,1,0,1,1
125417,4,1,0,0,1,0,1,0,1,1,1,3,1
635913,13,1,0,0,1,2,3,1,1,0,0,1,1
313321,12,0,0,0,0,2,1,0,1,0,1,1,1
182609,13,1,0,0,0,2,3,0,1,1,1,1,0
109434,13,1,0,0,0,2,3,1,1,1,1,1,1
255004,6,1,0,0,0,0,1,0,0,0,1,1,1
197860,10,1,0,0,0,1,1,0,1,1,1,1,1
51744,9,1,0,2206,0,1,1,0,2,0,0,1,1
176681,9,1,0,0,0,1,0,0,1,1,0,1,1
140359,1,0,0,0,0,0,0,0,1,0,1,2,1
243313,9,0,0,0,0,1,1,0,0,0,1,1,1
167687,9,1,1409,0,0,1,3,0,2,1,1,3,1
314209,11,0,0,0,0,1,0,0,2,0,1,1,0
176796,9,0,0,0,0,1,1,0,2,0,1,1,1
538583,7,1,3674,0,0,1,1,0,1,0,0,1,1
130408,9,0,0,0,0,1,1,0,1,0,0,1,1
159732,10,1,0,0,0,1,3,0,0,0,1,1,1
110978,10,0,0,0,0,1,1,0,1,0,0,1,1
76714,15,1,0,0,1,2,3,1,0,0,1,1,1
268700,9,1,0,0,0,1,1,0,2,1,1,2,1
170525,10,0,0,0,0,1,1,0,1,0,1,2,1
180138,13,1,0,0,1,2,3,1,1,1,1,1,0
115076,14,1,0,0,1,2,2,1,1,1,1,2,1
115458,9,1,0,0,0,1,1,0,0,0,1,1,1
347890,13,1,0,0,1,2,1,1,1,1,1,1,1
196001,9,0,0,0,0,1,0,0,1,1,1,3,1
273905,12,1,0,0,0,2,3,0,0,1,1,2,1
179488,10,1,0,1741,0,1,1,0,1,0,1,1,1
236596,9,1,0,0,1,1,3,0,2,1,1,1,1
183916,9,0,0,0,0,1,0,0,1,0,1,1,1
207578,12,1,0,1977,1,2,3,0,1,1,1,1,1
112763,15,0,0,0,1,2,1,1,1,1,1,1,1
390781,13,0,0,0,0,2,1,0,1,1,0,1,1
171328,6,0,0,0,0,0,0,0,2,0,0,2,1
27382,10,1,0,0,0,1,1,0,0,0,1,2,1
259014,10,1,0,0,0,1,0,0,2,0,1,1,1
303044,9,1,0,0,1,1,1,0,1,1,0,3,0
117789,9,0,0,0,0,1,1,0,0,0,1,1,1
172579,9,0,0,0,0,1,0,0,1,0,1,1,1
187666,11,0,0,0,0,1,3,1,1,0,1,1,1
204518,4,1,0,0,0,0,1,0,1,0,1,1,1
150042,13,0,0,0,0,2,1,1,1,0,1,1,1
98092,9,1,0,0,0,1,3,0,1,1,1,1,1
245918,7,1,0,0,0,1,0,0,0,0,1,1,1
146013,10,1,4064,0,0,1,1,0,2,1,1,1,1
378322,7,1,0,0,0,1,1,0,0,1,1,1,1
257295,10,1,0,0,1,1,2,1,1,1,0,3,0
21174,9,1,0,0,1,1,1,1,2,1,1,1,1
185480,13,0,0,0,0,2,3,1,1,0,1,1,1
222205,9,0,0,0,1,1,1,0,1,1,1,1,1
69867,9,1,0,0,1,1,1,1,2,1,1,1,1
191260,5,1,1055,0,0,0,0,0,0,0,1,1,1
30653,14,1,2407,0,0,2,2,0,1,1,1,3,1
209109,14,1,0,0,0,2,0,1,0,0,1,2,1
70377,9,0,0,0,0,1,1,1,0,0,1,1,1
477983,9,1,0,0,0,1,1,0,1,1,0,1,1
170924,10,1,7298,0,1,1,1,0,1,1,1,1,1
190174,10,0,0,0,0,1,1,1,1,0,1,1,1
193787,10,0,0,0,0,1,1,0,0,0,1,1,1
279472,10,0,7298,0,1,1,3,0,0,1,1,1,1
34918,13,0,0,0,0,2,0,1,0,0,1,1,0
97688,10,1,5178,0,1,1,1,0,1,1,1,2,1
175413,12,0,0,0,0,2,3,0,1,0,0,1,1
173960,13,0,0,0,0,2,3,1,2,0,1,1,1
205759,9,1,0,0,0,1,1,0,0,0,1,1,1
425161,14,1,15024,0,1,2,1,0,2,1,1,2,1
220531,15,1,0,0,1,2,3,1,1,1,1,1,1
176609,10,1,0,0,0,1,3,0,1,0,1,1,1
371987,13,0,0,0,0,2,1,1,0,0,1,1,1
193884,4,1,0,0,0,0,1,0,1,1,1,1,0
200352,13,1,0,0,0,2,3,1,1,1,1,1,1
127595,9,0,0,0,0,1,1,1,1,0,1,1,1
220419,13,1,0,0,0,2,3,0,0,0,1,2,1
231931,10,1,0,0,0,1,3,0,0,0,1,1,1
248402,13,0,0,0,0,2,1,0,0,0,0,1,1
111095,9,1,0,0,0,1,0,0,2,1,1,1,1
57424,13,0,0,0,0,2,3,0,1,0,1,3,1
278130,9,1,0,0,0,1,1,0,0,0,1,1,1
169469,9,1,0,0,0,1,2,0,1,0,1,1,1
146268,13,1,7688,0,1,2,1,0,1,1,1,1,1
153718,10,0,0,0,0,1,0,0,0,0,0,1,1
217460,9,1,0,0,1,1,3,0,1,1,1,1,1
238638,9,1,4386,0,1,1,1,0,1,1,1,1,1
303296,10,0,0,0,0,1,1,0,0,1,0,1,0
173321,9,0,0,0,0,1,1,0,1,0,1,1,1
193945,12,1,0,0,0,2,3,0,0,0,1,1,1
83082,12,0,0,0,0,2,0,1,1,0,1,1,1
193815,12,1,0,0,1,2,1,0,1,1,1,1,1
34987,10,1,0,0,1,1,3,0,1,1,1,3,1
59306,13,1,0,0,0,2,1,0,0,0,1,1,1
142897,14,1,7298,0,1,2,0,1,1,1,0,1,0
205607,13,0,0,0,1,2,1,1,1,0,0,3,1
199698,10,1,0,0,0,1,0,0,0,0,1,1,1
191954,10,1,0,0,0,1,1,0,0,0,1,1,1
138714,10,1,0,0,0,1,1,0,2,1,1,3,1
399087,3,0,0,0,0,0,1,0,0,1,1,1,0
423158,10,0,0,0,0,1,1,0,0,0,1,1,1
159841,9,0,0,0,0,1,0,0,2,0,1,1,1
174308,9,1,0,0,0,1,1,1,1,1,1,3,1
50356,10,1,0,1485,0,1,3,0,1,1,1,1,1
186110,9,1,0,0,0,1,3,0,1,0,1,1,1
200381,7,0,0,0,0,1,1,1,0,0,1,1,1
174309,14,1,0,0,0,2,0,0,2,1,1,3,1
78383,9,1,0,0,0,1,3,0,2,1,1,3,1
187728,10,0,0,1887,1,1,3,1,1,1,1,1,1
321171,9,1,0,0,0,1,1,0,2,1,1,3,1
127921,9,1,2050,0,0,1,3,0,2,0,1,1,1
206565,10,1,0,0,0,1,3,0,1,0,0,1,1
224563,13,1,0,0,0,2,1,0,0,0,1,1,1
178686,11,1,0,0,0,1,1,0,1,0,1,1,1
98545,6,1,0,0,0,0,1,0,1,1,1,2,1
242606,9,1,0,0,0,1,1,0,1,1,1,1,1
270942,3,1,0,0,0,0,3,0,0,0,1,1,0
94235,9,1,0,0,0,1,1,0,0,0,1,1,1
71195,14,1,0,0,0,2,3,1,1,0,1,1,1
104112,9,1,0,0,0,1,0,0,0,0,0,1,0
261192,9,1,0,0,0,1,1,0,1,1,0,1,1
94936,12,1,0,0,0,2,1,0,0,0,1,1,1
296478,11,1,7298,0,1,1,1,0,1,1,1,1,1
119272,9,1,7298,0,1,1,1,0,1,1,1,2,1
85043,9,1,0,0,0,1,0,0,1,0,1,1,1
293364,10,0,0,0,0,1,1,0,0,0,0,2,1
241895,13,1,0,0,0,2,3,0,1,0,1,3,1
101128,12,1,0,0,0,2,0,0,2,1,1,1,0
156464,13,1,0,0,0,2,0,1,1,0,1,1,1
117963,13,1,0,0,1,2,1,1,1,1,1,1,1
192262,9,1,0,0,0,1,1,0,0,1,1,1,1
111363,13,1,0,0,1,2,1,1,1,1,1,1,1
329752,7,1,0,0,0,1,0,0,1,1,1,2,1
95432,9,1,0,0,1,1,1,0,1,1,1,2,1
161400,7,1,0,0,0,1,1,0,2,0,0,1,1
96129,11,1,0,0,1,1,1,0,1,1,1,1,1
111949,9,0,0,0,0,1,0,0,1,1,1,1,1
117125,5,1,0,0,0,0,1,0,0,1,1,3,0
348022,6,0,0,0,0,0,0,0,1,1,1,1,1
270092,14,1,0,0,1,2,1,1,2,1,1,1,1
180609,13,1,0,0,0,2,3,0,1,1,1,1,1
174575,13,1,0,1564,1,2,3,1,1,0,1,1,1
410439,9,1,0,0,0,1,3,0,0,1,1,1,1
92262,9,1,0,0,0,1,1,0,0,1,1,1,1
183081,10,1,0,0,0,1,3,0,2,1,1,3,1
362589,12,0,0,0,0,2,0,0,0,0,1,1,1
212448,13,0,0,0,1,2,3,1,2,0,1,1,1
481060,9,0,0,0,0,1,1,0,1,0,1,1,1
185885,10,0,0,0,0,1,0,0,0,0,1,2,1
89821,7,1,0,0,0,1,0,0,0,0,1,1,1
184018,11,1,0,0,1,1,1,0,1,1,1,2,1
256649,9,1,0,0,0,1,1,0,1,1,0,1,1
160323,9,1,0,0,0,1,1,0,1,0,0,1,1
350845,10,0,0,0,0,1,0,0,0,0,1,2,1
267404,9,0,0,0,0,1,1,0,1,1,1,1,1
35633,10,1,0,0,0,1,1,0,0,0,1,1,1
80914,14,1,0,0,0,2,0,1,1,0,1,3,1
172927,9,1,0,0,0,1,3,0,1,1,1,1,1
174319,9,1,0,0,0,1,1,0,1,0,1,1,1
214955,3,0,0,2339,0,0,3,0,1,0,1,1,1
344991,10,1,0,0,0,1,1,0,0,1,1,1,1
108699,10,0,0,0,0,1,1,0,1,0,1,1,1
117312,10,0,0,0,0,1,1,0,1,1,1,2,1
396099,9,0,0,0,0,1,0,0,0,0,1,1,1
134152,9,1,0,0,0,1,1,0,0,0,1,1,1
162028,10,0,0,2415,1,1,0,0,1,1,1,1,1
25429,10,0,0,0,0,1,0,0,0,0,1,1,1
232392,9,0,0,0,0,1,1,0,0,0,1,1,1
220098,9,0,0,0,1,1,1,0,1,1,1,1,1
301302,13,1,0,0,0,2,3,0,0,0,1,1,1
277946,12,1,0,0,0,2,1,0,1,0,1,3,1
196164,9,0,0,0,0,1,0,0,1,0,1,1,1
115562,10,1,0,0,0,1,1,0,1,1,1,1,1
96975,10,0,0,0,0,1,1,0,1,0,1,1,1
86872,13,1,0,0,1,2,3,1,0,1,1,1,1
132178,13,1,0,0,1,2,3,1,1,1,1,3,1
416103,10,1,0,0,0,1,1,0,0,0,1,1,1
108574,10,0,0,0,0,1,1,0,0,0,1,1,1
288353,13,1,0,0,1,2,1,0,1,1,1,2,1
227689,11,0,0,0,0,1,2,0,1,0,1,1,1
166481,4,1,0,2179,0,0,1,0,0,1,0,1,0
445382,14,1,0,1977,1,2,2,1,1,1,1,1,1
110145,9,1,0,0,0,1,1,0,0,1,1,1,1
317253,9,1,0,0,0,1,0,0,1,1,1,3,1
364657,10,1,0,0,0,1,3,1,1,1,1,1,1
42346,10,0,0,0,0,1,0,0,1,0,0,2,1
241951,9,0,0,0,0,1,1,0,0,0,0,1,1
118500,10,0,0,0,0,1,1,1,1,0,1,1,1
188386,16,1,15024,0,1,2,3,1,1,1,1,1,1
1033222,10,1,0,0,0,1,1,0,1,1,1,2,1
92440,8,1,0,0,1,1,3,0,1,0,1,1,1
190762,2,1,0,0,0,0,1,0,1,1,1,1,0
426017,7,0,0,0,0,1,0,0,0,0,1,1,1
243867,7,1,0,0,0,1,1,0,1,0,0,2,1
240283,9,0,0,0,0,1,1,0,1,0,1,2,1
61777,10,1,0,0,0,1,0,0,0,1,1,1,1
175024,7,1,2176,0,0,1,0,0,0,0,1,1,1
92003,13,0,0,0,1,2,1,1,1,1,1,2,1
188401,9,1,0,0,0,1,1,0,0,0,1,1,1
228528,6,0,0,0,0,0,0,0,1,0,1,1,1
133373,9,1,0,0,0,1,3,0,0,1,1,1,1
255191,14,1,0,1408,0,2,1,1,1,0,1,2,1
204653,9,1,0,0,0,1,2,0,0,0,1,1,0
222289,9,1,0,0,1,1,1,1,2,1,1,3,1
287480,14,1,0,0,0,2,1,1,1,1,1,2,1
204116,13,0,2174,0,0,2,1,1,1,1,1,3,1
29662,12,0,0,0,1,2,0,0,0,1,1,1,1
116358,10,1,0,1980,0,1,1,0,0,0,0,1,0
208405,14,1,0,0,1,2,3,1,1,1,1,1,1
284843,9,1,594,0,0,1,3,0,1,0,0,2,1
117018,10,0,0,0,0,1,1,0,1,0,1,2,1
81281,10,1,0,0,0,1,1,0,0,1,1,1,1
340148,10,0,0,0,0,1,1,0,1,1,1,2,1
363425,13,1,0,0,0,2,1,1,0,0,1,1,1
45857,9,0,0,0,0,1,0,0,1,0,1,1,1
191073,9,1,0,0,0,1,1,0,0,0,1,2,1
116632,10,1,0,0,1,1,1,1,1,1,1,1,1
405855,5,1,0,0,0,0,1,0,0,0,1,1,0
298227,10,1,0,0,0,1,0,0,0,0,1,1,1
290521,9,0,0,0,0,1,1,1,1,0,0,1,1
56915,9,1,0,0,0,1,1,0,1,1,0,1,1
146538,9,1,0,0,0,1,1,0,0,1,1,1,1
206399,9,0,0,0,0,1,1,0,0,0,0,1,1
197332,10,1,0,0,1,1,3,0,1,1,1,3,1
245062,9,1,0,0,1,1,1,0,2,1,1,1,1
234885,9,0,0,0,1,1,1,0,1,1,1,3,1
72887,11,1,0,0,1,1,1,0,1,1,0,1,1
180374,9,0,0,0,0,1,1,1,0,1,1,1,1
351299,10,1,0,0,0,1,3,0,1,1,0,1,1
54012,9,1,0,0,0,1,3,0,0,1,1,1,1
116632,12,1,0,0,0,2,1,0,1,0,1,1,1
288825,9,1,0,0,0,1,1,0,1,1,0,2,1
132601,13,1,0,0,0,2,3,1,1,1,1,1,1
193374,2,1,0,0,0,0,1,0,1,1,1,1,1
170070,13,0,0,0,0,2,0,0,0,0,1,1,1
126708,9,0,0,0,0,1,3,0,1,1,1,1,1
35598,9,1,0,0,0,1,1,0,1,0,1,1,1
33983,10,1,0,0,0,1,1,0,1,1,1,1,1
192776,14,1,0,1977,1,2,3,1,1,1,1,1,1
118551,13,0,0,0,1,2,0,0,0,1,1,1,1
201965,10,1,0,0,1,1,1,1,2,0,1,1,1
285020,9,1,0,0,0,1,1,0,1,0,1,1,1
303990,9,1,0,0,0,1,3,0,0,0,1,1,1
49401,11,0,0,0,0,1,0,0,2,0,1,1,1
279196,13,0,0,0,0,2,1,0,1,0,1,1,1
211870,5,1,0,0,0,0,0,0,0,0,1,1,1
281432,10,1,0,0,0,1,0,0,0,0,1,1,1
161155,6,1,0,0,0,0,1,0,0,0,1,1,1
197904,9,0,0,0,0,1,0,0,0,0,1,1,1
111746,12,1,0,0,0,2,3,0,1,1,1,1,0
170721,10,1,0,0,0,1,0,0,1,1,1,3,1
70100,13,1,0,0,0,2,0,1,0,0,1,2,1
193626,9,0,0,0,0,1,1,0,1,1,1,1,1
189775,10,0,0,0,0,1,0,0,0,1,0,1,1
286967,9,1,0,0,0,1,3,0,2,1,1,2,1
164427,13,0,0,0,0,2,1,1,1,0,1,2,1
91039,13,1,15024,0,1,2,3,0,1,1,1,1,1
347934,9,0,0,0,0,1,0,0,1,0,1,1,1
371373,9,1,0,0,0,1,1,0,1,0,1,2,1
32220,12,0,0,0,0,2,3,1,1,0,1,1,1
187251,9,0,0,0,0,1,0,1,1,0,1,1,1
178107,13,1,0,0,0,2,0,0,1,0,1,1,1
343121,9,0,0,0,0,1,1,0,1,0,1,1,1
262749,10,1,0,0,0,1,1,0,0,0,1,1,1
403107,3,1,0,0,0,0,1,0,0,0,1,1,0
64293,10,0,0,0,0,1,0,1,0,0,1,1,1
324960,9,1,0,0,0,1,1,0,0,0,1,2,0
114060,9,1,0,0,0,1,1,0,2,1,1,2,1
48925,10,1,0,0,0,1,1,0,1,1,1,1,1
180980,10,0,0,0,0,1,3,0,2,0,1,1,0
181054,13,0,0,0,0,2,1,0,0,0,1,1,1
388093,13,1,0,0,0,2,1,1,0,0,0,1,1
249609,10,1,0,0,0,1,0,0,0,0,1,1,1
112131,10,1,0,0,0,1,1,1,1,1,1,1,1
543162,9,0,0,0,0,1,1,0,1,0,0,2,1
91996,9,0,0,0,0,1,1,0,1,0,1,1,1
141944,11,1,0,1380,0,1,3,0,1,1,1,1,1
37070,11,1,0,0,0,1,3,0,1,0,1,1,1
337587,10,1,0,0,1,1,3,1,1,1,1,1,1
